    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          209.0            80.0          253.0            36.0     231.0
1    200.0          205.0            84.0          260.0            29.0     232.5
2    300.0          198.0            91.0          242.0            47.0     220.0
3    400.0          219.0            70.0          262.0            27.0     240.5
4    500.0          214.0            75.0          247.0            42.0     230.5
5    600.0          216.0            73.0          251.0            38.0     233.5
6    700.0          216.0            73.0          251.0            38.0     233.5
7    800.0          224.0            65.0          247.0            42.0     235.5
8    900.0          236.0            53.0          235.0            54.0     235.5
9   1000.0          231.0            58.0          246.0            43.0     238.5
10  1100.0          231.0            58.0          223.0            66.0     227.0
11  1200.0          237.0            52.0          253.0            36.0     245.0
12  1300.0          232.0            57.0          248.0            41.0     240.0
13  1400.0          235.0            54.0          235.0            54.0     235.0
14  1500.0          214.0            75.0          221.0            68.0     217.5
15  1600.0          232.0            57.0          241.0            48.0     236.5
16  1700.0          229.0            60.0          236.0            53.0     232.5
17  1800.0          221.0            68.0          242.0            47.0     231.5
18  1900.0          233.0            56.0          229.0            60.0     231.0
19  2000.0          223.0            66.0          235.0            54.0     229.0
20  2100.0          234.0            55.0          227.0            62.0     230.5
21  2200.0          230.0            59.0          229.0            60.0     229.5
22  2300.0          233.0            56.0          240.0            49.0     236.5
23  2400.0          220.0            69.0          154.0           135.0     187.0
24  2500.0          222.0            67.0          216.0            73.0     219.0
25  2600.0          229.0            60.0          216.0            73.0     222.5
