    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          182.0           107.0          116.0           173.0     149.0
1    200.0          171.0           118.0          106.0           183.0     138.5
2    300.0          198.0            91.0          132.0           157.0     165.0
3    400.0          178.0           111.0          126.0           163.0     152.0
4    500.0          180.0           109.0          108.0           181.0     144.0
5    600.0          193.0            96.0           98.0           191.0     145.5
6    700.0          181.0           108.0          141.0           148.0     161.0
7    800.0          120.0           169.0           54.0           235.0      87.0
8    900.0          173.0           116.0          110.0           179.0     141.5
9   1000.0          123.0           166.0           70.0           219.0      96.5
10  1100.0          100.0           189.0           46.0           243.0      73.0
11  1200.0          114.0           175.0           54.0           235.0      84.0
12  1300.0          120.0           169.0           65.0           224.0      92.5
13  1400.0          116.0           173.0           37.0           252.0      76.5
14  1500.0          138.0           151.0          101.0           188.0     119.5
15  1600.0          111.0           178.0           41.0           248.0      76.0
16  1700.0           66.0           223.0           29.0           260.0      47.5
17  1800.0          117.0           172.0           95.0           194.0     106.0
18  1900.0          138.0           151.0           55.0           234.0      96.5
19  2000.0          113.0           176.0           41.0           248.0      77.0
20  2100.0          147.0           142.0           76.0           213.0     111.5
21  2200.0           97.0           192.0           53.0           236.0      75.0
22  2300.0           99.0           190.0           40.0           249.0      69.5
23  2400.0           52.0           237.0           27.0           262.0      39.5
24  2500.0          154.0           135.0          149.0           140.0     151.5
25  2600.0          144.0           145.0           78.0           211.0     111.0
26  2700.0           53.0           236.0           22.0           267.0      37.5
27  2800.0           97.0           192.0           31.0           258.0      64.0
28  2900.0           87.0           202.0           47.0           242.0      67.0
29  3000.0           74.0           215.0           28.0           261.0      51.0
30  3100.0           57.0           232.0           37.0           252.0      47.0
31  3200.0           93.0           196.0           60.0           229.0      76.5
32  3300.0           26.0           263.0           23.0           266.0      24.5
33  3400.0           59.0           230.0           33.0           256.0      46.0
34  3500.0           98.0           191.0           30.0           259.0      64.0
35  3600.0           82.0           207.0           38.0           251.0      60.0
36  3700.0           88.0           201.0           40.0           249.0      64.0
37  3800.0           46.0           243.0           33.0           256.0      39.5
38  3900.0           78.0           211.0           30.0           259.0      54.0
