    epochs  dogru_tahmin  yanlis_tahmin
0    100.0         145.0          179.0
1    200.0          97.0          227.0
2    300.0         133.0          191.0
3    400.0         189.0          135.0
4    500.0          33.0          291.0
5    600.0         147.0          177.0
6    700.0         153.0          171.0
7    800.0         155.0          169.0
8    900.0         154.0          170.0
9   1000.0         154.0          170.0
10  1100.0         157.0          167.0
11  1200.0         159.0          165.0
12  1300.0         159.0          165.0
13  1400.0         158.0          166.0
14  1500.0         156.0          168.0
15  1600.0         155.0          169.0
16  1700.0         154.0          170.0
17  1800.0         156.0          168.0
18  1900.0         159.0          165.0
19  2000.0         157.0          167.0
20  2100.0         161.0          163.0
21  2200.0         159.0          165.0
22  2300.0         167.0          157.0
23  2400.0         161.0          163.0
24  2500.0         160.0          164.0
