    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          238.0            51.0          240.0            49.0     239.0
1    200.0          236.0            53.0          199.0            90.0     217.5
2    300.0          186.0           103.0          120.0           169.0     153.0
3    400.0          160.0           129.0          121.0           168.0     140.5
4    500.0          181.0           108.0          154.0           135.0     167.5
5    600.0          159.0           130.0          127.0           162.0     143.0
6    700.0          195.0            94.0          180.0           109.0     187.5
7    800.0          208.0            81.0          185.0           104.0     196.5
8    900.0          194.0            95.0          171.0           118.0     182.5
9   1000.0          185.0           104.0          149.0           140.0     167.0
10  1100.0          191.0            98.0          181.0           108.0     186.0
11  1200.0          187.0           102.0          151.0           138.0     169.0
12  1300.0          190.0            99.0          159.0           130.0     174.5
13  1400.0          191.0            98.0          136.0           153.0     163.5
14  1500.0          193.0            96.0          129.0           160.0     161.0
15  1600.0          179.0           110.0          121.0           168.0     150.0
16  1700.0          132.0           157.0           71.0           218.0     101.5
17  1800.0          171.0           118.0           93.0           196.0     132.0
18  1900.0          195.0            94.0          105.0           184.0     150.0
19  2000.0          187.0           102.0           93.0           196.0     140.0
20  2100.0          197.0            92.0          112.0           177.0     154.5
21  2200.0          167.0           122.0          118.0           171.0     142.5
22  2300.0          171.0           118.0           82.0           207.0     126.5
23  2400.0          162.0           127.0          113.0           176.0     137.5
24  2500.0          141.0           148.0           84.0           205.0     112.5
25  2600.0          186.0           103.0           94.0           195.0     140.0
26  2700.0          152.0           137.0          110.0           179.0     131.0
27  2800.0          159.0           130.0          188.0           101.0     173.5
28  2900.0          158.0           131.0          147.0           142.0     152.5
29  3000.0          163.0           126.0          157.0           132.0     160.0
30  3100.0          157.0           132.0          168.0           121.0     162.5
31  3200.0          149.0           140.0          120.0           169.0     134.5
32  3300.0          173.0           116.0          198.0            91.0     185.5
33  3400.0          162.0           127.0          147.0           142.0     154.5
34  3500.0          162.0           127.0          175.0           114.0     168.5
35  3600.0          166.0           123.0          153.0           136.0     159.5
36  3700.0          159.0           130.0          124.0           165.0     141.5
37  3800.0          177.0           112.0          172.0           117.0     174.5
38  3900.0          156.0           133.0          114.0           175.0     135.0
39  4000.0          188.0           101.0          192.0            97.0     190.0
40  4100.0          190.0            99.0          203.0            86.0     196.5
