    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          236.0            53.0          150.0           139.0     193.0
1    200.0          225.0            64.0          164.0           125.0     194.5
2    300.0          227.0            62.0          190.0            99.0     208.5
3    400.0          203.0            86.0          254.0            35.0     228.5
4    500.0          209.0            80.0          250.0            39.0     229.5
5    600.0          207.0            82.0          237.0            52.0     222.0
6    700.0          220.0            69.0          209.0            80.0     214.5
7    800.0          211.0            78.0          252.0            37.0     231.5
8    900.0          201.0            88.0          225.0            64.0     213.0
9   1000.0          208.0            81.0          241.0            48.0     224.5
10  1100.0          218.0            71.0          259.0            30.0     238.5
11  1200.0          200.0            89.0          239.0            50.0     219.5
12  1300.0          207.0            82.0          228.0            61.0     217.5
13  1400.0          220.0            69.0          247.0            42.0     233.5
14  1500.0          210.0            79.0          232.0            57.0     221.0
15  1600.0          205.0            84.0          218.0            71.0     211.5
16  1700.0          196.0            93.0          231.0            58.0     213.5
17  1800.0          211.0            78.0          211.0            78.0     211.0
18  1900.0          208.0            81.0          203.0            86.0     205.5
19  2000.0          202.0            87.0          224.0            65.0     213.0
20  2100.0          201.0            88.0          249.0            40.0     225.0
21  2200.0          203.0            86.0          228.0            61.0     215.5
22  2300.0          196.0            93.0          206.0            83.0     201.0
23  2400.0          210.0            79.0          211.0            78.0     210.5
24  2500.0          192.0            97.0          206.0            83.0     199.0
25  2600.0          194.0            95.0          210.0            79.0     202.0
26  2700.0          206.0            83.0          225.0            64.0     215.5
27  2800.0          203.0            86.0          225.0            64.0     214.0
28  2900.0          194.0            95.0          221.0            68.0     207.5
29  3000.0          210.0            79.0          219.0            70.0     214.5
30  3100.0          208.0            81.0          201.0            88.0     204.5
31  3200.0          205.0            84.0          218.0            71.0     211.5
32  3300.0          202.0            87.0          221.0            68.0     211.5
33  3400.0          200.0            89.0          196.0            93.0     198.0
34  3500.0          193.0            96.0          202.0            87.0     197.5
35  3600.0          201.0            88.0          239.0            50.0     220.0
36  3700.0          188.0           101.0          177.0           112.0     182.5
37  3800.0          194.0            95.0          191.0            98.0     192.5
38  3900.0          211.0            78.0          210.0            79.0     210.5
39  4000.0          207.0            82.0          213.0            76.0     210.0
