    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          181.0           108.0           69.0           220.0     125.0
1    200.0          222.0            67.0          189.0           100.0     205.5
2    300.0          212.0            77.0          206.0            83.0     209.0
3    400.0          224.0            65.0          213.0            76.0     218.5
4    500.0          221.0            68.0          227.0            62.0     224.0
5    600.0          228.0            61.0          211.0            78.0     219.5
6    700.0          224.0            65.0          241.0            48.0     232.5
7    800.0          224.0            65.0          210.0            79.0     217.0
8    900.0          222.0            67.0          213.0            76.0     217.5
9   1000.0          227.0            62.0          244.0            45.0     235.5
10  1100.0          213.0            76.0          199.0            90.0     206.0
11  1200.0          219.0            70.0          212.0            77.0     215.5
12  1300.0          220.0            69.0          212.0            77.0     216.0
13  1400.0          220.0            69.0          207.0            82.0     213.5
14  1500.0          220.0            69.0          209.0            80.0     214.5
15  1600.0          219.0            70.0          203.0            86.0     211.0
16  1700.0          221.0            68.0          195.0            94.0     208.0
17  1800.0          221.0            68.0          214.0            75.0     217.5
18  1900.0          225.0            64.0          212.0            77.0     218.5
19  2000.0          223.0            66.0          210.0            79.0     216.5
20  2100.0          223.0            66.0          216.0            73.0     219.5
21  2200.0          220.0            69.0          201.0            88.0     210.5
22  2300.0          221.0            68.0          199.0            90.0     210.0
23  2400.0          222.0            67.0          210.0            79.0     216.0
24  2500.0          227.0            62.0          226.0            63.0     226.5
25  2600.0          218.0            71.0          203.0            86.0     210.5
26  2700.0          219.0            70.0          215.0            74.0     217.0
27  2800.0          223.0            66.0          205.0            84.0     214.0
28  2900.0          220.0            69.0          209.0            80.0     214.5
29  3000.0          218.0            71.0          197.0            92.0     207.5
30  3100.0          219.0            70.0          207.0            82.0     213.0
31  3200.0          222.0            67.0          206.0            83.0     214.0
32  3300.0          222.0            67.0          213.0            76.0     217.5
33  3400.0          225.0            64.0          200.0            89.0     212.5
34  3500.0          224.0            65.0          202.0            87.0     213.0
35  3600.0          227.0            62.0          191.0            98.0     209.0
36  3700.0          220.0            69.0          178.0           111.0     199.0
37  3800.0          225.0            64.0          210.0            79.0     217.5
38  3900.0          229.0            60.0          209.0            80.0     219.0
39  4000.0          233.0            56.0          191.0            98.0     212.0
40  4100.0          223.0            66.0          187.0           102.0     205.0
41  4200.0          233.0            56.0          194.0            95.0     213.5
42  4300.0          226.0            63.0          172.0           117.0     199.0
43  4400.0          231.0            58.0          223.0            66.0     227.0
44  4500.0          223.0            66.0          164.0           125.0     193.5
45  4600.0          226.0            63.0          188.0           101.0     207.0
46  4700.0          231.0            58.0          192.0            97.0     211.5
47  4800.0          228.0            61.0          203.0            86.0     215.5
48  4900.0          225.0            64.0          182.0           107.0     203.5
49  5000.0          226.0            63.0          195.0            94.0     210.5
50  5100.0          230.0            59.0          212.0            77.0     221.0
51  5200.0          226.0            63.0          212.0            77.0     219.0
52  5300.0          227.0            62.0          211.0            78.0     219.0
53  5400.0          224.0            65.0          215.0            74.0     219.5
54  5500.0          229.0            60.0          207.0            82.0     218.0
55  5600.0          220.0            69.0          180.0           109.0     200.0
56  5700.0          226.0            63.0          198.0            91.0     212.0
57  5800.0          230.0            59.0          215.0            74.0     222.5
58  5900.0          228.0            61.0          216.0            73.0     222.0
59  6000.0          226.0            63.0          194.0            95.0     210.0
