    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          227.0            62.0          128.0           161.0     177.5
1    200.0          219.0            70.0          155.0           134.0     187.0
2    300.0          209.0            80.0          165.0           124.0     187.0
3    400.0          228.0            61.0          210.0            79.0     219.0
4    500.0          230.0            59.0          232.0            57.0     231.0
5    600.0          213.0            76.0          175.0           114.0     194.0
6    700.0          227.0            62.0          218.0            71.0     222.5
7    800.0          223.0            66.0          192.0            97.0     207.5
8    900.0          233.0            56.0          229.0            60.0     231.0
9   1000.0          220.0            69.0          174.0           115.0     197.0
10  1100.0          232.0            57.0          232.0            57.0     232.0
11  1200.0          238.0            51.0          247.0            42.0     242.5
12  1300.0          234.0            55.0          241.0            48.0     237.5
13  1400.0          233.0            56.0          209.0            80.0     221.0
14  1500.0          235.0            54.0          234.0            55.0     234.5
15  1600.0          232.0            57.0          248.0            41.0     240.0
16  1700.0          234.0            55.0          251.0            38.0     242.5
17  1800.0          237.0            52.0          251.0            38.0     244.0
18  1900.0          235.0            54.0          246.0            43.0     240.5
19  2000.0          229.0            60.0          249.0            40.0     239.0
20  2100.0          228.0            61.0          245.0            44.0     236.5
21  2200.0          239.0            50.0          243.0            46.0     241.0
22  2300.0          235.0            54.0          255.0            34.0     245.0
23  2400.0          238.0            51.0          256.0            33.0     247.0
24  2500.0          232.0            57.0          249.0            40.0     240.5
25  2600.0          235.0            54.0          246.0            43.0     240.5
26  2700.0          235.0            54.0          248.0            41.0     241.5
27  2800.0          233.0            56.0          254.0            35.0     243.5
28  2900.0          234.0            55.0          252.0            37.0     243.0
29  3000.0          223.0            66.0          252.0            37.0     237.5
30  3100.0          232.0            57.0          245.0            44.0     238.5
31  3200.0          229.0            60.0          255.0            34.0     242.0
32  3300.0          236.0            53.0          250.0            39.0     243.0
33  3400.0          228.0            61.0          249.0            40.0     238.5
34  3500.0          227.0            62.0          246.0            43.0     236.5
35  3600.0          231.0            58.0          255.0            34.0     243.0
36  3700.0          228.0            61.0          251.0            38.0     239.5
37  3800.0          222.0            67.0          249.0            40.0     235.5
38  3900.0          225.0            64.0          244.0            45.0     234.5
39  4000.0          229.0            60.0          252.0            37.0     240.5
40  4100.0          219.0            70.0          248.0            41.0     233.5
41  4200.0          234.0            55.0          254.0            35.0     244.0
42  4300.0          218.0            71.0          255.0            34.0     236.5
43  4400.0          221.0            68.0          246.0            43.0     233.5
