    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0            5.0           284.0            1.0           288.0       3.0
1    200.0            4.0           285.0            4.0           285.0       4.0
2    300.0            8.0           281.0            3.0           286.0       5.5
3    400.0          217.0            72.0          262.0            27.0     239.5
4    500.0          213.0            76.0          234.0            55.0     223.5
5    600.0          198.0            91.0          175.0           114.0     186.5
6    700.0          202.0            87.0          236.0            53.0     219.0
7    800.0          198.0            91.0          227.0            62.0     212.5
8    900.0          177.0           112.0          209.0            80.0     193.0
9   1000.0          154.0           135.0          184.0           105.0     169.0
10  1100.0          161.0           128.0          197.0            92.0     179.0
11  1200.0          176.0           113.0          230.0            59.0     203.0
12  1300.0          147.0           142.0          206.0            83.0     176.5
13  1400.0          154.0           135.0          200.0            89.0     177.0
14  1500.0          138.0           151.0          186.0           103.0     162.0
15  1600.0          142.0           147.0          174.0           115.0     158.0
16  1700.0          122.0           167.0          171.0           118.0     146.5
17  1800.0          136.0           153.0          166.0           123.0     151.0
18  1900.0          100.0           189.0          159.0           130.0     129.5
19  2000.0          155.0           134.0          211.0            78.0     183.0
20  2100.0          131.0           158.0          176.0           113.0     153.5
21  2200.0          155.0           134.0          190.0            99.0     172.5
22  2300.0          116.0           173.0          162.0           127.0     139.0
23  2400.0          114.0           175.0          177.0           112.0     145.5
24  2500.0          144.0           145.0          181.0           108.0     162.5
25  2600.0          140.0           149.0          186.0           103.0     163.0
