    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          198.0            91.0          106.0           183.0     152.0
1    200.0           28.0           261.0           21.0           268.0      24.5
2    300.0           13.0           276.0            6.0           283.0       9.5
3    400.0            7.0           282.0            2.0           287.0       4.5
4    500.0            8.0           281.0            3.0           286.0       5.5
5    600.0            9.0           280.0            7.0           282.0       8.0
6    700.0            9.0           280.0            2.0           287.0       5.5
7    800.0           10.0           279.0            2.0           287.0       6.0
8    900.0            7.0           282.0            2.0           287.0       4.5
9   1000.0            9.0           280.0            3.0           286.0       6.0
10  1100.0            6.0           283.0            2.0           287.0       4.0
11  1200.0            6.0           283.0            2.0           287.0       4.0
12  1300.0            8.0           281.0            3.0           286.0       5.5
13  1400.0            6.0           283.0            2.0           287.0       4.0
14  1500.0            6.0           283.0            2.0           287.0       4.0
15  1600.0            7.0           282.0            2.0           287.0       4.5
16  1700.0            7.0           282.0            2.0           287.0       4.5
17  1800.0            7.0           282.0            2.0           287.0       4.5
18  1900.0            8.0           281.0            3.0           286.0       5.5
19  2000.0            8.0           281.0            2.0           287.0       5.0
20  2100.0            7.0           282.0            2.0           287.0       4.5
21  2200.0           10.0           279.0            3.0           286.0       6.5
22  2300.0            8.0           281.0            2.0           287.0       5.0
23  2400.0            7.0           282.0            2.0           287.0       4.5
24  2500.0            9.0           280.0            4.0           285.0       6.5
25  2600.0            5.0           284.0            2.0           287.0       3.5
26  2700.0            8.0           281.0            3.0           286.0       5.5
27  2800.0            8.0           281.0            4.0           285.0       6.0
28  2900.0            8.0           281.0            3.0           286.0       5.5
29  3000.0            7.0           282.0            4.0           285.0       5.5
30  3100.0            7.0           282.0            2.0           287.0       4.5
31  3200.0            8.0           281.0            5.0           284.0       6.5
32  3300.0            9.0           280.0            7.0           282.0       8.0
33  3400.0            5.0           284.0            4.0           285.0       4.5
34  3500.0            6.0           283.0            2.0           287.0       4.0
35  3600.0            7.0           282.0            2.0           287.0       4.5
