    epochs  dogru_tahmin  yanlis_tahmin
0    100.0          28.0          296.0
1    200.0          16.0          308.0
2    300.0          12.0          312.0
3    400.0          10.0          314.0
4    500.0          11.0          313.0
5    600.0          12.0          312.0
6    700.0           8.0          316.0
7    800.0          10.0          314.0
8    900.0          10.0          314.0
9   1000.0          10.0          314.0
10  1100.0           7.0          317.0
11  1200.0           8.0          316.0
12  1300.0           5.0          319.0
13  1400.0           6.0          318.0
14  1500.0          11.0          313.0
15  1600.0          12.0          312.0
16  1700.0          14.0          310.0
17  1800.0          15.0          309.0
18  1900.0          14.0          310.0
19  2000.0          12.0          312.0
20  2100.0          13.0          311.0
21  2200.0          24.0          300.0
22  2300.0          19.0          305.0
23  2400.0          13.0          311.0
24  2500.0          41.0          283.0
25  2600.0          32.0          292.0
26  2700.0          30.0          294.0
27  2800.0          25.0          299.0
28  2900.0          23.0          301.0
29  3000.0          28.0          296.0
30  3100.0          28.0          296.0
31  3200.0          25.0          299.0
32  3300.0          42.0          282.0
33  3400.0          27.0          297.0
34  3500.0          29.0          295.0
35  3600.0          31.0          293.0
36  3700.0          31.0          293.0
37  3800.0          27.0          297.0
38  3900.0          24.0          300.0
39  4000.0          29.0          295.0
40  4100.0          29.0          295.0
41  4200.0          28.0          296.0
42  4300.0          24.0          300.0
43  4400.0          30.0          294.0
44  4500.0          32.0          292.0
45  4600.0          27.0          297.0
46  4700.0          31.0          293.0
47  4800.0          28.0          296.0
48  4900.0          47.0          277.0
49  5000.0          32.0          292.0
