    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          224.0            65.0          229.0            60.0     226.5
1    200.0          209.0            80.0          141.0           148.0     175.0
2    300.0          207.0            82.0          144.0           145.0     175.5
3    400.0          176.0           113.0          104.0           185.0     140.0
4    500.0          189.0           100.0          100.0           189.0     144.5
5    600.0          178.0           111.0          108.0           181.0     143.0
6    700.0          221.0            68.0          170.0           119.0     195.5
7    800.0          201.0            88.0          146.0           143.0     173.5
8    900.0          213.0            76.0          155.0           134.0     184.0
9   1000.0          202.0            87.0          124.0           165.0     163.0
10  1100.0          219.0            70.0          178.0           111.0     198.5
11  1200.0          204.0            85.0          142.0           147.0     173.0
12  1300.0          206.0            83.0          138.0           151.0     172.0
13  1400.0          218.0            71.0          175.0           114.0     196.5
14  1500.0          215.0            74.0          165.0           124.0     190.0
15  1600.0          213.0            76.0          181.0           108.0     197.0
16  1700.0          217.0            72.0          198.0            91.0     207.5
17  1800.0          219.0            70.0          205.0            84.0     212.0
18  1900.0          218.0            71.0          189.0           100.0     203.5
19  2000.0          206.0            83.0          173.0           116.0     189.5
20  2100.0          200.0            89.0          133.0           156.0     166.5
21  2200.0          204.0            85.0          165.0           124.0     184.5
22  2300.0          213.0            76.0          167.0           122.0     190.0
23  2400.0          195.0            94.0          117.0           172.0     156.0
24  2500.0          195.0            94.0          113.0           176.0     154.0
25  2600.0          191.0            98.0           94.0           195.0     142.5
26  2700.0          192.0            97.0           95.0           194.0     143.5
27  2800.0          194.0            95.0           97.0           192.0     145.5
28  2900.0          219.0            70.0          131.0           158.0     175.0
29  3000.0          208.0            81.0          119.0           170.0     163.5
30  3100.0          214.0            75.0          127.0           162.0     170.5
31  3200.0          216.0            73.0          139.0           150.0     177.5
32  3300.0          215.0            74.0          123.0           166.0     169.0
33  3400.0          212.0            77.0          163.0           126.0     187.5
34  3500.0          214.0            75.0          144.0           145.0     179.0
35  3600.0          214.0            75.0          152.0           137.0     183.0
36  3700.0          221.0            68.0          136.0           153.0     178.5
37  3800.0          215.0            74.0          123.0           166.0     169.0
38  3900.0          223.0            66.0          174.0           115.0     198.5
39  4000.0          215.0            74.0          161.0           128.0     188.0
40  4100.0          204.0            85.0           88.0           201.0     146.0
41  4200.0          216.0            73.0          132.0           157.0     174.0
42  4300.0          221.0            68.0          182.0           107.0     201.5
43  4400.0          225.0            64.0          177.0           112.0     201.0
44  4500.0          215.0            74.0          146.0           143.0     180.5
45  4600.0          218.0            71.0          157.0           132.0     187.5
46  4700.0          218.0            71.0          189.0           100.0     203.5
47  4800.0          219.0            70.0          161.0           128.0     190.0
48  4900.0          216.0            73.0          186.0           103.0     201.0
49  5000.0          209.0            80.0          143.0           146.0     176.0
50  5100.0          217.0            72.0          149.0           140.0     183.0
51  5200.0          211.0            78.0          160.0           129.0     185.5
52  5300.0          218.0            71.0          198.0            91.0     208.0
53  5400.0          216.0            73.0          160.0           129.0     188.0
54  5500.0          219.0            70.0          166.0           123.0     192.5
55  5600.0          210.0            79.0          156.0           133.0     183.0
56  5700.0          213.0            76.0          148.0           141.0     180.5
57  5800.0          218.0            71.0          172.0           117.0     195.0
