    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          213.0            76.0          172.0           117.0     192.5
1    200.0          218.0            71.0           90.0           199.0     154.0
2    300.0          203.0            86.0          197.0            92.0     200.0
3    400.0          203.0            86.0          206.0            83.0     204.5
4    500.0          127.0           162.0           77.0           212.0     102.0
5    600.0          153.0           136.0          130.0           159.0     141.5
6    700.0          140.0           149.0          111.0           178.0     125.5
7    800.0           89.0           200.0           43.0           246.0      66.0
8    900.0          112.0           177.0           32.0           257.0      72.0
9   1000.0           70.0           219.0           42.0           247.0      56.0
10  1100.0           37.0           252.0           21.0           268.0      29.0
11  1200.0           29.0           260.0           16.0           273.0      22.5
12  1300.0           30.0           259.0           23.0           266.0      26.5
13  1400.0           23.0           266.0           15.0           274.0      19.0
14  1500.0           17.0           272.0           14.0           275.0      15.5
15  1600.0           82.0           207.0           33.0           256.0      57.5
16  1700.0           60.0           229.0           46.0           243.0      53.0
17  1800.0           48.0           241.0           16.0           273.0      32.0
18  1900.0          137.0           152.0          132.0           157.0     134.5
19  2000.0           43.0           246.0           27.0           262.0      35.0
20  2100.0          121.0           168.0          124.0           165.0     122.5
21  2200.0           21.0           268.0           19.0           270.0      20.0
22  2300.0           57.0           232.0           30.0           259.0      43.5
23  2400.0          113.0           176.0           49.0           240.0      81.0
24  2500.0           26.0           263.0           23.0           266.0      24.5
25  2600.0           78.0           211.0           34.0           255.0      56.0
26  2700.0           73.0           216.0           43.0           246.0      58.0
27  2800.0           46.0           243.0           20.0           269.0      33.0
28  2900.0          136.0           153.0           93.0           196.0     114.5
29  3000.0           89.0           200.0           72.0           217.0      80.5
30  3100.0          174.0           115.0          164.0           125.0     169.0
31  3200.0           64.0           225.0           41.0           248.0      52.5
32  3300.0           87.0           202.0           34.0           255.0      60.5
33  3400.0           97.0           192.0           67.0           222.0      82.0
34  3500.0          151.0           138.0          142.0           147.0     146.5
35  3600.0           36.0           253.0           18.0           271.0      27.0
36  3700.0          149.0           140.0          144.0           145.0     146.5
37  3800.0          100.0           189.0           21.0           268.0      60.5
38  3900.0          121.0           168.0           98.0           191.0     109.5
39  4000.0           94.0           195.0           43.0           246.0      68.5
40  4100.0           67.0           222.0           30.0           259.0      48.5
41  4200.0          110.0           179.0           73.0           216.0      91.5
42  4300.0           84.0           205.0           35.0           254.0      59.5
43  4400.0           71.0           218.0           47.0           242.0      59.0
44  4500.0           77.0           212.0           41.0           248.0      59.0
45  4600.0           42.0           247.0           20.0           269.0      31.0
46  4700.0           87.0           202.0           73.0           216.0      80.0
47  4800.0          114.0           175.0           96.0           193.0     105.0
48  4900.0           80.0           209.0           46.0           243.0      63.0
49  5000.0           65.0           224.0           37.0           252.0      51.0
50  5100.0           21.0           268.0           15.0           274.0      18.0
51  5200.0          116.0           173.0           70.0           219.0      93.0
52  5300.0          152.0           137.0          132.0           157.0     142.0
53  5400.0          112.0           177.0          105.0           184.0     108.5
54  5500.0          123.0           166.0          120.0           169.0     121.5
55  5600.0          153.0           136.0          151.0           138.0     152.0
