    epochs  dogru_tahmin1  yanlis_tahmin1  dogru_tahmin2  yanlis_tahmin2  ortalama
0    100.0          102.0           187.0          146.0           143.0     124.0
1    200.0          205.0            84.0          239.0            50.0     222.0
2    300.0          219.0            70.0          233.0            56.0     226.0
3    400.0          218.0            71.0          235.0            54.0     226.5
4    500.0          215.0            74.0          239.0            50.0     227.0
5    600.0          221.0            68.0          233.0            56.0     227.0
6    700.0          226.0            63.0          234.0            55.0     230.0
7    800.0          218.0            71.0          238.0            51.0     228.0
8    900.0          222.0            67.0          240.0            49.0     231.0
9   1000.0          216.0            73.0          236.0            53.0     226.0
10  1100.0          219.0            70.0          233.0            56.0     226.0
11  1200.0          200.0            89.0          232.0            57.0     216.0
12  1300.0          211.0            78.0          232.0            57.0     221.5
13  1400.0          226.0            63.0          244.0            45.0     235.0
14  1500.0          221.0            68.0          230.0            59.0     225.5
15  1600.0          204.0            85.0          236.0            53.0     220.0
16  1700.0          212.0            77.0          235.0            54.0     223.5
17  1800.0          221.0            68.0          240.0            49.0     230.5
18  1900.0          211.0            78.0          237.0            52.0     224.0
19  2000.0          206.0            83.0          224.0            65.0     215.0
20  2100.0          213.0            76.0          218.0            71.0     215.5
