                                      model_name dogru_tahmin1 yanlis_tahmin1 dogru_tahmin2 yanlis_tahmin2 ortalama
0   _GPU_model_f32_k6_epoch_00001_sigmoid_(1, 1)         222.0           67.0         283.0            6.0    252.5
1   _GPU_model_f32_k6_epoch_00002_sigmoid_(1, 1)         229.0           60.0         266.0           23.0    247.5
2   _GPU_model_f32_k6_epoch_00003_sigmoid_(1, 1)         209.0           80.0         262.0           27.0    235.5
3   _GPU_model_f32_k6_epoch_00004_sigmoid_(1, 1)         224.0           65.0         267.0           22.0    245.5
4   _GPU_model_f32_k6_epoch_00005_sigmoid_(1, 1)         220.0           69.0         265.0           24.0    242.5
5   _GPU_model_f32_k6_epoch_00006_sigmoid_(1, 1)         222.0           67.0         266.0           23.0    244.0
6   _GPU_model_f32_k6_epoch_00007_sigmoid_(1, 1)         221.0           68.0         260.0           29.0    240.5
7   _GPU_model_f32_k6_epoch_00008_sigmoid_(1, 1)         231.0           58.0         264.0           25.0    247.5
8   _GPU_model_f32_k6_epoch_00009_sigmoid_(1, 1)         230.0           59.0         268.0           21.0    249.0
9   _GPU_model_f32_k6_epoch_00010_sigmoid_(1, 1)         228.0           61.0         265.0           24.0    246.5
10  _GPU_model_f32_k6_epoch_00011_sigmoid_(1, 1)         226.0           63.0         263.0           26.0    244.5
11  _GPU_model_f32_k6_epoch_00012_sigmoid_(1, 1)         210.0           79.0         261.0           28.0    235.5
12  _GPU_model_f32_k6_epoch_00013_sigmoid_(1, 1)         223.0           66.0         263.0           26.0    243.0
13  _GPU_model_f32_k6_epoch_00014_sigmoid_(1, 1)         227.0           62.0         267.0           22.0    247.0
14  _GPU_model_f32_k6_epoch_00015_sigmoid_(1, 1)         217.0           72.0         257.0           32.0    237.0
15  _GPU_model_f32_k6_epoch_00016_sigmoid_(1, 1)         229.0           60.0         262.0           27.0    245.5
